,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross
490,The Shawshank Redemption,(1994),142 min,"

9.3
",82        ,"2,725,194",$28.34M
491,The Godfather,(1972),175 min,"

9.2
",100        ,"1,894,443",$134.97M
492,Hababam Sinifi,(1975),87 min,"

9.2
",****,"41,538",%^%^%
493,DAMaN,(2022),121 min,"

9.1
",****,"13,162",%^%^%
494,The Dark Knight,(2008),152 min,"

9.0
",84        ,"2,698,044",$534.86M
495,Schindler's List,(1993),195 min,"

9.0
",95        ,"1,376,254",$96.90M
496,12 Angry Men,(1957),96 min,"

9.0
",97        ,"805,894",$4.36M
497,The Lord of the Rings: The Return of the King,(2003),201 min,"

9.0
",94        ,"1,874,787",$377.85M
498,The Godfather Part II,(1974),202 min,"

9.0
",90        ,"1,292,020",$57.30M
499,Aynabaji,(2016),147 min,"

9.0
",****,"27,425",%^%^%
500,Pulp Fiction,(1994),154 min,"

8.9
",95        ,"2,093,444",$107.93M
501,Kimetsu no Yaiba: Tsuzumi Yashiki Hen,(2021),87 min,"

8.9
",****,"17,265",%^%^%
502,Maratonci trce pocasni krug,(1982),92 min,"

8.9
",****,"16,297",%^%^%
503,Tosun Pasa,(1976),90 min,"

8.9
",****,"23,803",%^%^%
504,Hababam Sinifi Sinifta Kaldi,(1975),91 min,"

8.9
",****,"23,854",%^%^%
505,Fight Club,(1999),139 min,"

8.8
",66        ,"2,168,321",$37.03M
506,The Lord of the Rings: The Fellowship of the Ring,(2001),178 min,"

8.8
",92        ,"1,903,910",$315.54M
507,Inception,(2010),148 min,"

8.8
",74        ,"2,394,574",$292.58M
508,Forrest Gump,(1994),142 min,"

8.8
",82        ,"2,119,536",$330.25M
509,"Il buono, il brutto, il cattivo",(1966),161 min,"

8.8
",90        ,"772,610",$6.10M
510,The Lord of the Rings: The Two Towers,(2002),179 min,"

8.8
",87        ,"1,692,575",$342.55M
511,Jai Bhim,(2021),164 min,"

8.8
",****,"205,541",%^%^%
512,Kill Bill: The Whole Bloody Affair,(2006),247 min,"

8.8
",****,"13,657",%^%^%
513,777 Charlie,(2022),136 min,"

8.8
",****,"34,184",%^%^%
514,Kimetsu no Yaiba: Natagumo Yama Hen,(2020),138 min,"

8.8
",****,"12,947",%^%^%
515,Rocketry: The Nambi Effect,(2022),157 min,"

8.8
",****,"52,613",%^%^%
516,Ko to tamo peva,(1980),86 min,"

8.8
",****,"15,900",%^%^%
517,Balkanski spijun,(1984),95 min,"

8.8
",****,"11,873",%^%^%
518,#Home,(2021),158 min,"

8.8
",****,"13,915",%^%^%
519,Manichitrathazhu,(1993),169 min,"

8.8
",****,"11,302",%^%^%
520,Süt Kardesler,(1976),80 min,"

8.8
",****,"20,500",%^%^%
521,Hababam Sinifi Uyaniyor,(1977),94 min,"

8.8
",****,"20,158",%^%^%
522,The Matrix,(1999),136 min,"

8.7
",73        ,"1,944,100",$171.48M
523,GoodFellas,(1990),145 min,"

8.7
",91        ,"1,182,514",$46.84M
524,One Flew Over the Cuckoo's Nest,(1975),133 min,"

8.7
",84        ,"1,022,407",$112.00M
525,The Empire Strikes Back,(1980),124 min,"

8.7
",82        ,"1,311,930",$290.48M
526,The Kashmir Files,(2022),170 min,"

8.7
",****,"563,810",%^%^%
527,Soorarai Pottru,(2020),153 min,"

8.7
",****,"118,954",%^%^%
528,Toma,(2021),140 min,"

8.7
",****,"11,426",%^%^%
529,Pariyerum Perumal,(2018),154 min,"

8.7
",****,"16,663",%^%^%
530,Peranbu,(2018),147 min,"

8.7
",****,"15,285",%^%^%
531,Kibar Feyzo,(1978),83 min,"

8.7
",****,"16,692",%^%^%
532,Zügürt Aga,(1985),101 min,"

8.7
",****,"15,696",%^%^%
533,Saban Oglu Saban,(1977),90 min,"

8.7
",****,"18,098",%^%^%
534,Neseli Günler,(1978),95 min,"

8.7
",****,"11,493",%^%^%
535,Interstellar,(2014),169 min,"

8.6
",74        ,"1,887,121",$188.02M
536,Se7en,(1995),127 min,"

8.6
",65        ,"1,683,828",$100.13M
537,The Silence of the Lambs,(1991),118 min,"

8.6
",86        ,"1,457,143",$130.74M
538,The Green Mile,(1999),189 min,"

8.6
",61        ,"1,324,876",$136.80M
539,The Shawshank Redemption,(1994),142 min,"

9.3
",82        ,"2,725,194",$28.34M
540,The Godfather,(1972),175 min,"

9.2
",100        ,"1,894,443",$134.97M
541,Hababam Sinifi,(1975),87 min,"

9.2
",****,"41,538",%^%^%
542,DAMaN,(2022),121 min,"

9.1
",****,"13,162",%^%^%
543,The Dark Knight,(2008),152 min,"

9.0
",84        ,"2,698,044",$534.86M
544,Schindler's List,(1993),195 min,"

9.0
",95        ,"1,376,254",$96.90M
545,12 Angry Men,(1957),96 min,"

9.0
",97        ,"805,894",$4.36M
546,The Lord of the Rings: The Return of the King,(2003),201 min,"

9.0
",94        ,"1,874,787",$377.85M
547,The Godfather Part II,(1974),202 min,"

9.0
",90        ,"1,292,020",$57.30M
548,Aynabaji,(2016),147 min,"

9.0
",****,"27,425",%^%^%
549,Pulp Fiction,(1994),154 min,"

8.9
",95        ,"2,093,444",$107.93M
550,Kimetsu no Yaiba: Tsuzumi Yashiki Hen,(2021),87 min,"

8.9
",****,"17,265",%^%^%
551,Maratonci trce pocasni krug,(1982),92 min,"

8.9
",****,"16,297",%^%^%
552,Tosun Pasa,(1976),90 min,"

8.9
",****,"23,803",%^%^%
553,Hababam Sinifi Sinifta Kaldi,(1975),91 min,"

8.9
",****,"23,854",%^%^%
554,Fight Club,(1999),139 min,"

8.8
",66        ,"2,168,321",$37.03M
555,The Lord of the Rings: The Fellowship of the Ring,(2001),178 min,"

8.8
",92        ,"1,903,910",$315.54M
556,Inception,(2010),148 min,"

8.8
",74        ,"2,394,574",$292.58M
557,Forrest Gump,(1994),142 min,"

8.8
",82        ,"2,119,536",$330.25M
558,"Il buono, il brutto, il cattivo",(1966),161 min,"

8.8
",90        ,"772,610",$6.10M
559,The Lord of the Rings: The Two Towers,(2002),179 min,"

8.8
",87        ,"1,692,575",$342.55M
560,Jai Bhim,(2021),164 min,"

8.8
",****,"205,541",%^%^%
561,Kill Bill: The Whole Bloody Affair,(2006),247 min,"

8.8
",****,"13,657",%^%^%
562,777 Charlie,(2022),136 min,"

8.8
",****,"34,184",%^%^%
563,Kimetsu no Yaiba: Natagumo Yama Hen,(2020),138 min,"

8.8
",****,"12,947",%^%^%
564,Rocketry: The Nambi Effect,(2022),157 min,"

8.8
",****,"52,613",%^%^%
565,Ko to tamo peva,(1980),86 min,"

8.8
",****,"15,900",%^%^%
566,Balkanski spijun,(1984),95 min,"

8.8
",****,"11,873",%^%^%
567,#Home,(2021),158 min,"

8.8
",****,"13,915",%^%^%
568,Manichitrathazhu,(1993),169 min,"

8.8
",****,"11,302",%^%^%
569,Süt Kardesler,(1976),80 min,"

8.8
",****,"20,500",%^%^%
570,Hababam Sinifi Uyaniyor,(1977),94 min,"

8.8
",****,"20,158",%^%^%
571,The Matrix,(1999),136 min,"

8.7
",73        ,"1,944,100",$171.48M
572,GoodFellas,(1990),145 min,"

8.7
",91        ,"1,182,514",$46.84M
573,One Flew Over the Cuckoo's Nest,(1975),133 min,"

8.7
",84        ,"1,022,407",$112.00M
574,The Empire Strikes Back,(1980),124 min,"

8.7
",82        ,"1,311,930",$290.48M
575,The Kashmir Files,(2022),170 min,"

8.7
",****,"563,810",%^%^%
576,Soorarai Pottru,(2020),153 min,"

8.7
",****,"118,954",%^%^%
577,Toma,(2021),140 min,"

8.7
",****,"11,426",%^%^%
578,Pariyerum Perumal,(2018),154 min,"

8.7
",****,"16,663",%^%^%
579,Peranbu,(2018),147 min,"

8.7
",****,"15,285",%^%^%
580,Kibar Feyzo,(1978),83 min,"

8.7
",****,"16,692",%^%^%
581,Zügürt Aga,(1985),101 min,"

8.7
",****,"15,696",%^%^%
582,Saban Oglu Saban,(1977),90 min,"

8.7
",****,"18,098",%^%^%
583,Neseli Günler,(1978),95 min,"

8.7
",****,"11,493",%^%^%
584,Interstellar,(2014),169 min,"

8.6
",74        ,"1,887,121",$188.02M
585,Se7en,(1995),127 min,"

8.6
",65        ,"1,683,828",$100.13M
586,The Silence of the Lambs,(1991),118 min,"

8.6
",86        ,"1,457,143",$130.74M
587,The Green Mile,(1999),189 min,"

8.6
",61        ,"1,324,876",$136.80M
588,The Shawshank Redemption,(1994),142 min,"

9.3
",82        ,"2,725,194",$28.34M
589,The Godfather,(1972),175 min,"

9.2
",100        ,"1,894,443",$134.97M
590,Hababam Sinifi,(1975),87 min,"

9.2
",****,"41,538",%^%^%
591,DAMaN,(2022),121 min,"

9.1
",****,"13,162",%^%^%
592,The Dark Knight,(2008),152 min,"

9.0
",84        ,"2,698,044",$534.86M
593,Schindler's List,(1993),195 min,"

9.0
",95        ,"1,376,254",$96.90M
594,12 Angry Men,(1957),96 min,"

9.0
",97        ,"805,894",$4.36M
595,The Lord of the Rings: The Return of the King,(2003),201 min,"

9.0
",94        ,"1,874,787",$377.85M
596,The Godfather Part II,(1974),202 min,"

9.0
",90        ,"1,292,020",$57.30M
597,Aynabaji,(2016),147 min,"

9.0
",****,"27,425",%^%^%
598,Pulp Fiction,(1994),154 min,"

8.9
",95        ,"2,093,444",$107.93M
599,Kimetsu no Yaiba: Tsuzumi Yashiki Hen,(2021),87 min,"

8.9
",****,"17,265",%^%^%
600,Maratonci trce pocasni krug,(1982),92 min,"

8.9
",****,"16,297",%^%^%
601,Tosun Pasa,(1976),90 min,"

8.9
",****,"23,803",%^%^%
602,Hababam Sinifi Sinifta Kaldi,(1975),91 min,"

8.9
",****,"23,854",%^%^%
603,Fight Club,(1999),139 min,"

8.8
",66        ,"2,168,321",$37.03M
604,The Lord of the Rings: The Fellowship of the Ring,(2001),178 min,"

8.8
",92        ,"1,903,910",$315.54M
605,Inception,(2010),148 min,"

8.8
",74        ,"2,394,574",$292.58M
606,Forrest Gump,(1994),142 min,"

8.8
",82        ,"2,119,536",$330.25M
607,"Il buono, il brutto, il cattivo",(1966),161 min,"

8.8
",90        ,"772,610",$6.10M
608,The Lord of the Rings: The Two Towers,(2002),179 min,"

8.8
",87        ,"1,692,575",$342.55M
609,Jai Bhim,(2021),164 min,"

8.8
",****,"205,541",%^%^%
610,Kill Bill: The Whole Bloody Affair,(2006),247 min,"

8.8
",****,"13,657",%^%^%
611,777 Charlie,(2022),136 min,"

8.8
",****,"34,184",%^%^%
612,Kimetsu no Yaiba: Natagumo Yama Hen,(2020),138 min,"

8.8
",****,"12,947",%^%^%
613,Rocketry: The Nambi Effect,(2022),157 min,"

8.8
",****,"52,613",%^%^%
614,Ko to tamo peva,(1980),86 min,"

8.8
",****,"15,900",%^%^%
615,Balkanski spijun,(1984),95 min,"

8.8
",****,"11,873",%^%^%
616,#Home,(2021),158 min,"

8.8
",****,"13,915",%^%^%
617,Manichitrathazhu,(1993),169 min,"

8.8
",****,"11,302",%^%^%
618,Süt Kardesler,(1976),80 min,"

8.8
",****,"20,500",%^%^%
619,Hababam Sinifi Uyaniyor,(1977),94 min,"

8.8
",****,"20,158",%^%^%
620,The Matrix,(1999),136 min,"

8.7
",73        ,"1,944,100",$171.48M
621,GoodFellas,(1990),145 min,"

8.7
",91        ,"1,182,514",$46.84M
622,One Flew Over the Cuckoo's Nest,(1975),133 min,"

8.7
",84        ,"1,022,407",$112.00M
623,The Empire Strikes Back,(1980),124 min,"

8.7
",82        ,"1,311,930",$290.48M
624,The Kashmir Files,(2022),170 min,"

8.7
",****,"563,810",%^%^%
625,Soorarai Pottru,(2020),153 min,"

8.7
",****,"118,954",%^%^%
626,Toma,(2021),140 min,"

8.7
",****,"11,426",%^%^%
627,Pariyerum Perumal,(2018),154 min,"

8.7
",****,"16,663",%^%^%
628,Peranbu,(2018),147 min,"

8.7
",****,"15,285",%^%^%
629,Kibar Feyzo,(1978),83 min,"

8.7
",****,"16,692",%^%^%
630,Zügürt Aga,(1985),101 min,"

8.7
",****,"15,696",%^%^%
631,Saban Oglu Saban,(1977),90 min,"

8.7
",****,"18,098",%^%^%
632,Neseli Günler,(1978),95 min,"

8.7
",****,"11,493",%^%^%
633,Interstellar,(2014),169 min,"

8.6
",74        ,"1,887,121",$188.02M
634,Se7en,(1995),127 min,"

8.6
",65        ,"1,683,828",$100.13M
635,The Silence of the Lambs,(1991),118 min,"

8.6
",86        ,"1,457,143",$130.74M
636,The Green Mile,(1999),189 min,"

8.6
",61        ,"1,324,876",$136.80M
637,The Shawshank Redemption,(1994),142 min,"

9.3
",82        ,"2,725,194",$28.34M
638,The Godfather,(1972),175 min,"

9.2
",100        ,"1,894,443",$134.97M
639,Hababam Sinifi,(1975),87 min,"

9.2
",****,"41,538",%^%^%
640,DAMaN,(2022),121 min,"

9.1
",****,"13,162",%^%^%
641,The Dark Knight,(2008),152 min,"

9.0
",84        ,"2,698,044",$534.86M
642,Schindler's List,(1993),195 min,"

9.0
",95        ,"1,376,254",$96.90M
643,12 Angry Men,(1957),96 min,"

9.0
",97        ,"805,894",$4.36M
644,The Lord of the Rings: The Return of the King,(2003),201 min,"

9.0
",94        ,"1,874,787",$377.85M
645,The Godfather Part II,(1974),202 min,"

9.0
",90        ,"1,292,020",$57.30M
646,Aynabaji,(2016),147 min,"

9.0
",****,"27,425",%^%^%
647,Pulp Fiction,(1994),154 min,"

8.9
",95        ,"2,093,444",$107.93M
648,Kimetsu no Yaiba: Tsuzumi Yashiki Hen,(2021),87 min,"

8.9
",****,"17,265",%^%^%
649,Maratonci trce pocasni krug,(1982),92 min,"

8.9
",****,"16,297",%^%^%
650,Tosun Pasa,(1976),90 min,"

8.9
",****,"23,803",%^%^%
651,Hababam Sinifi Sinifta Kaldi,(1975),91 min,"

8.9
",****,"23,854",%^%^%
652,Fight Club,(1999),139 min,"

8.8
",66        ,"2,168,321",$37.03M
653,The Lord of the Rings: The Fellowship of the Ring,(2001),178 min,"

8.8
",92        ,"1,903,910",$315.54M
654,Inception,(2010),148 min,"

8.8
",74        ,"2,394,574",$292.58M
655,Forrest Gump,(1994),142 min,"

8.8
",82        ,"2,119,536",$330.25M
656,"Il buono, il brutto, il cattivo",(1966),161 min,"

8.8
",90        ,"772,610",$6.10M
657,The Lord of the Rings: The Two Towers,(2002),179 min,"

8.8
",87        ,"1,692,575",$342.55M
658,Jai Bhim,(2021),164 min,"

8.8
",****,"205,541",%^%^%
659,Kill Bill: The Whole Bloody Affair,(2006),247 min,"

8.8
",****,"13,657",%^%^%
660,777 Charlie,(2022),136 min,"

8.8
",****,"34,184",%^%^%
661,Kimetsu no Yaiba: Natagumo Yama Hen,(2020),138 min,"

8.8
",****,"12,947",%^%^%
662,Rocketry: The Nambi Effect,(2022),157 min,"

8.8
",****,"52,613",%^%^%
663,Ko to tamo peva,(1980),86 min,"

8.8
",****,"15,900",%^%^%
664,Balkanski spijun,(1984),95 min,"

8.8
",****,"11,873",%^%^%
665,#Home,(2021),158 min,"

8.8
",****,"13,915",%^%^%
666,Manichitrathazhu,(1993),169 min,"

8.8
",****,"11,302",%^%^%
667,Süt Kardesler,(1976),80 min,"

8.8
",****,"20,500",%^%^%
668,Hababam Sinifi Uyaniyor,(1977),94 min,"

8.8
",****,"20,158",%^%^%
669,The Matrix,(1999),136 min,"

8.7
",73        ,"1,944,100",$171.48M
670,GoodFellas,(1990),145 min,"

8.7
",91        ,"1,182,514",$46.84M
671,One Flew Over the Cuckoo's Nest,(1975),133 min,"

8.7
",84        ,"1,022,407",$112.00M
672,The Empire Strikes Back,(1980),124 min,"

8.7
",82        ,"1,311,930",$290.48M
673,The Kashmir Files,(2022),170 min,"

8.7
",****,"563,810",%^%^%
674,Soorarai Pottru,(2020),153 min,"

8.7
",****,"118,954",%^%^%
675,Toma,(2021),140 min,"

8.7
",****,"11,426",%^%^%
676,Pariyerum Perumal,(2018),154 min,"

8.7
",****,"16,663",%^%^%
677,Peranbu,(2018),147 min,"

8.7
",****,"15,285",%^%^%
678,Kibar Feyzo,(1978),83 min,"

8.7
",****,"16,692",%^%^%
679,Zügürt Aga,(1985),101 min,"

8.7
",****,"15,696",%^%^%
680,Saban Oglu Saban,(1977),90 min,"

8.7
",****,"18,098",%^%^%
681,Neseli Günler,(1978),95 min,"

8.7
",****,"11,493",%^%^%
682,Interstellar,(2014),169 min,"

8.6
",74        ,"1,887,121",$188.02M
683,Se7en,(1995),127 min,"

8.6
",65        ,"1,683,828",$100.13M
684,The Silence of the Lambs,(1991),118 min,"

8.6
",86        ,"1,457,143",$130.74M
685,The Green Mile,(1999),189 min,"

8.6
",61        ,"1,324,876",$136.80M
686,The Shawshank Redemption,(1994),142 min,"

9.3
",82        ,"2,725,194",$28.34M
687,The Godfather,(1972),175 min,"

9.2
",100        ,"1,894,443",$134.97M
688,Hababam Sinifi,(1975),87 min,"

9.2
",****,"41,538",%^%^%
689,DAMaN,(2022),121 min,"

9.1
",****,"13,162",%^%^%
690,The Dark Knight,(2008),152 min,"

9.0
",84        ,"2,698,044",$534.86M
691,Schindler's List,(1993),195 min,"

9.0
",95        ,"1,376,254",$96.90M
692,12 Angry Men,(1957),96 min,"

9.0
",97        ,"805,894",$4.36M
693,The Lord of the Rings: The Return of the King,(2003),201 min,"

9.0
",94        ,"1,874,787",$377.85M
694,The Godfather Part II,(1974),202 min,"

9.0
",90        ,"1,292,020",$57.30M
695,Aynabaji,(2016),147 min,"

9.0
",****,"27,425",%^%^%
696,Pulp Fiction,(1994),154 min,"

8.9
",95        ,"2,093,444",$107.93M
697,Kimetsu no Yaiba: Tsuzumi Yashiki Hen,(2021),87 min,"

8.9
",****,"17,265",%^%^%
698,Maratonci trce pocasni krug,(1982),92 min,"

8.9
",****,"16,297",%^%^%
699,Tosun Pasa,(1976),90 min,"

8.9
",****,"23,803",%^%^%
700,Hababam Sinifi Sinifta Kaldi,(1975),91 min,"

8.9
",****,"23,854",%^%^%
701,Fight Club,(1999),139 min,"

8.8
",66        ,"2,168,321",$37.03M
702,The Lord of the Rings: The Fellowship of the Ring,(2001),178 min,"

8.8
",92        ,"1,903,910",$315.54M
703,Inception,(2010),148 min,"

8.8
",74        ,"2,394,574",$292.58M
704,Forrest Gump,(1994),142 min,"

8.8
",82        ,"2,119,536",$330.25M
705,"Il buono, il brutto, il cattivo",(1966),161 min,"

8.8
",90        ,"772,610",$6.10M
706,The Lord of the Rings: The Two Towers,(2002),179 min,"

8.8
",87        ,"1,692,575",$342.55M
707,Jai Bhim,(2021),164 min,"

8.8
",****,"205,541",%^%^%
708,Kill Bill: The Whole Bloody Affair,(2006),247 min,"

8.8
",****,"13,657",%^%^%
709,777 Charlie,(2022),136 min,"

8.8
",****,"34,184",%^%^%
710,Kimetsu no Yaiba: Natagumo Yama Hen,(2020),138 min,"

8.8
",****,"12,947",%^%^%
711,Rocketry: The Nambi Effect,(2022),157 min,"

8.8
",****,"52,613",%^%^%
712,Ko to tamo peva,(1980),86 min,"

8.8
",****,"15,900",%^%^%
713,Balkanski spijun,(1984),95 min,"

8.8
",****,"11,873",%^%^%
714,#Home,(2021),158 min,"

8.8
",****,"13,915",%^%^%
715,Manichitrathazhu,(1993),169 min,"

8.8
",****,"11,302",%^%^%
716,Süt Kardesler,(1976),80 min,"

8.8
",****,"20,500",%^%^%
717,Hababam Sinifi Uyaniyor,(1977),94 min,"

8.8
",****,"20,158",%^%^%
718,The Matrix,(1999),136 min,"

8.7
",73        ,"1,944,100",$171.48M
719,GoodFellas,(1990),145 min,"

8.7
",91        ,"1,182,514",$46.84M
720,One Flew Over the Cuckoo's Nest,(1975),133 min,"

8.7
",84        ,"1,022,407",$112.00M
721,The Empire Strikes Back,(1980),124 min,"

8.7
",82        ,"1,311,930",$290.48M
722,The Kashmir Files,(2022),170 min,"

8.7
",****,"563,810",%^%^%
723,Soorarai Pottru,(2020),153 min,"

8.7
",****,"118,954",%^%^%
724,Toma,(2021),140 min,"

8.7
",****,"11,426",%^%^%
725,Pariyerum Perumal,(2018),154 min,"

8.7
",****,"16,663",%^%^%
726,Peranbu,(2018),147 min,"

8.7
",****,"15,285",%^%^%
727,Kibar Feyzo,(1978),83 min,"

8.7
",****,"16,692",%^%^%
728,Zügürt Aga,(1985),101 min,"

8.7
",****,"15,696",%^%^%
729,Saban Oglu Saban,(1977),90 min,"

8.7
",****,"18,098",%^%^%
730,Neseli Günler,(1978),95 min,"

8.7
",****,"11,493",%^%^%
731,Interstellar,(2014),169 min,"

8.6
",74        ,"1,887,121",$188.02M
732,Se7en,(1995),127 min,"

8.6
",65        ,"1,683,828",$100.13M
733,The Silence of the Lambs,(1991),118 min,"

8.6
",86        ,"1,457,143",$130.74M
734,The Green Mile,(1999),189 min,"

8.6
",61        ,"1,324,876",$136.80M
